Index  Binary       Word      Braille6  Braille8  ShortBraille8  Braille8NumbersRaised                            
386    00110000010  core      ⠉⠕⠗⠑      ⣉⢕⣗⣑      ⣉ ⢕ ⣗ ⣑        1478 1358 123578 1578                            
387    00110000011  corn      ⠉⠕⠗⠝      ⣉⢕⣗⠝      ⣉ ⢕ ⣗ ⠝        1478 1358 123578 1345                            
388    00110000100  correct   ⠉⠕⠗⠗⠑⠉⠞   ⣉⢕⣗⣗⣑⣉⠞   ⣉ ⢕ ⣗ ⣗        1478 1358 123578 123578 1578 1478 2345           
389    00110000101  cost      ⠉⠕⠎⠞      ⣉⢕⢎⠞      ⣉ ⢕ ⢎ ⠞        1478 1358 2348 2345                              
390    00110000110  cotton    ⠉⠕⠞⠞⠕⠝    ⣉⢕⠞⠞⢕⠝    ⣉ ⢕ ⠞ ⠞        1478 1358 2345 2345 1358 1345                    
391    00110000111  couch     ⠉⠕⠥⠉⠓     ⣉⢕⢥⣉⢓     ⣉ ⢕ ⢥ ⣉        1478 1358 1368 1478 1258                         
392    00110001000  country   ⠉⠕⠥⠝⠞⠗⠽   ⣉⢕⢥⠝⠞⣗⢽   ⣉ ⢕ ⢥ ⠝        1478 1358 1368 1345 2345 123578 134568           
393    00110001001  couple    ⠉⠕⠥⠏⠇⠑    ⣉⢕⢥⣏⡇⣑    ⣉ ⢕ ⢥ ⣏        1478 1358 1368 123478 1237 1578                  
394    00110001010  course    ⠉⠕⠥⠗⠎⠑    ⣉⢕⢥⣗⢎⣑    ⣉ ⢕ ⢥ ⣗        1478 1358 1368 123578 2348 1578                  
395    00110001011  cousin    ⠉⠕⠥⠎⠊⠝    ⣉⢕⢥⢎⣊⠝    ⣉ ⢕ ⢥ ⢎        1478 1358 1368 2348 2478 1345                    
396    00110001100  cover     ⠉⠕⠧⠑⠗     ⣉⢕⣧⣑⣗     ⣉ ⢕ ⣧ ⣑        1478 1358 123678 1578 123578                     
397    00110001101  coyote    ⠉⠕⠽⠕⠞⠑    ⣉⢕⢽⢕⠞⣑    ⣉ ⢕ ⢽ ⢕        1478 1358 134568 1358 2345 1578                  
398    00110001110  crack     ⠉⠗⠁⠉⠅     ⣉⣗⡁⣉⠅     ⣉ ⣗ ⡁ ⣉        1478 123578 17 1478 13                           
399    00110001111  cradle    ⠉⠗⠁⠙⠇⠑    ⣉⣗⡁⡙⡇⣑    ⣉ ⣗ ⡁ ⡙        1478 123578 17 1457 1237 1578                    
400    00110010000  craft     ⠉⠗⠁⠋⠞     ⣉⣗⡁⢋⠞     ⣉ ⣗ ⡁ ⢋        1478 123578 17 1248 2345                         
401    00110010001  cram      ⠉⠗⠁⠍      ⣉⣗⡁⢍      ⣉ ⣗ ⡁ ⢍        1478 123578 17 1348                              
402    00110010010  crane     ⠉⠗⠁⠝⠑     ⣉⣗⡁⠝⣑     ⣉ ⣗ ⡁ ⠝        1478 123578 17 1345 1578                         
403    00110010011  crash     ⠉⠗⠁⠎⠓     ⣉⣗⡁⢎⢓     ⣉ ⣗ ⡁ ⢎        1478 123578 17 2348 1258                         
404    00110010100  crater    ⠉⠗⠁⠞⠑⠗    ⣉⣗⡁⠞⣑⣗    ⣉ ⣗ ⡁ ⠞        1478 123578 17 2345 1578 123578                  
405    00110010101  crawl     ⠉⠗⠁⠺⠇     ⣉⣗⡁⣺⡇     ⣉ ⣗ ⡁ ⣺        1478 123578 17 245678 1237                       
406    00110010110  crazy     ⠉⠗⠁⠵⠽     ⣉⣗⡁⠵⢽     ⣉ ⣗ ⡁ ⠵        1478 123578 17 1356 134568                       
407    00110010111  cream     ⠉⠗⠑⠁⠍     ⣉⣗⣑⡁⢍     ⣉ ⣗ ⣑ ⡁        1478 123578 1578 17 1348                         
408    00110011000  credit    ⠉⠗⠑⠙⠊⠞    ⣉⣗⣑⡙⣊⠞    ⣉ ⣗ ⣑ ⡙        1478 123578 1578 1457 2478 2345                  
409    00110011001  creek     ⠉⠗⠑⠑⠅     ⣉⣗⣑⣑⠅     ⣉ ⣗ ⣑ ⣑        1478 123578 1578 1578 13                         
410    00110011010  crew      ⠉⠗⠑⠺      ⣉⣗⣑⣺      ⣉ ⣗ ⣑ ⣺        1478 123578 1578 245678                          
411    00110011011  cricket   ⠉⠗⠊⠉⠅⠑⠞   ⣉⣗⣊⣉⠅⣑⠞   ⣉ ⣗ ⣊ ⣉        1478 123578 2478 1478 13 1578 2345               
412    00110011100  crime     ⠉⠗⠊⠍⠑     ⣉⣗⣊⢍⣑     ⣉ ⣗ ⣊ ⢍        1478 123578 2478 1348 1578                       
413    00110011101  crisp     ⠉⠗⠊⠎⠏     ⣉⣗⣊⢎⣏     ⣉ ⣗ ⣊ ⢎        1478 123578 2478 2348 123478                     
414    00110011110  critic    ⠉⠗⠊⠞⠊⠉    ⣉⣗⣊⠞⣊⣉    ⣉ ⣗ ⣊ ⠞        1478 123578 2478 2345 2478 1478                  
415    00110011111  crop      ⠉⠗⠕⠏      ⣉⣗⢕⣏      ⣉ ⣗ ⢕ ⣏        1478 123578 1358 123478                          
416    00110100000  cross     ⠉⠗⠕⠎⠎     ⣉⣗⢕⢎⢎     ⣉ ⣗ ⢕ ⢎        1478 123578 1358 2348 2348                       
417    00110100001  crouch    ⠉⠗⠕⠥⠉⠓    ⣉⣗⢕⢥⣉⢓    ⣉ ⣗ ⢕ ⢥        1478 123578 1358 1368 1478 1258                  
418    00110100010  crowd     ⠉⠗⠕⠺⠙     ⣉⣗⢕⣺⡙     ⣉ ⣗ ⢕ ⣺        1478 123578 1358 245678 1457                     
419    00110100011  crucial   ⠉⠗⠥⠉⠊⠁⠇   ⣉⣗⢥⣉⣊⡁⡇   ⣉ ⣗ ⢥ ⣉        1478 123578 1368 1478 2478 17 1237               
420    00110100100  cruel     ⠉⠗⠥⠑⠇     ⣉⣗⢥⣑⡇     ⣉ ⣗ ⢥ ⣑        1478 123578 1368 1578 1237                       
421    00110100101  cruise    ⠉⠗⠥⠊⠎⠑    ⣉⣗⢥⣊⢎⣑    ⣉ ⣗ ⢥ ⣊        1478 123578 1368 2478 2348 1578                  
422    00110100110  crumble   ⠉⠗⠥⠍⠃⠇⠑   ⣉⣗⢥⢍⠃⡇⣑   ⣉ ⣗ ⢥ ⢍        1478 123578 1368 1348 12 1237 1578               
423    00110100111  crunch    ⠉⠗⠥⠝⠉⠓    ⣉⣗⢥⠝⣉⢓    ⣉ ⣗ ⢥ ⠝        1478 123578 1368 1345 1478 1258                  
424    00110101000  crush     ⠉⠗⠥⠎⠓     ⣉⣗⢥⢎⢓     ⣉ ⣗ ⢥ ⢎        1478 123578 1368 2348 1258                       
425    00110101001  cry       ⠉⠗⠽       ⣉⣗⢽       ⣉ ⣗ ⢽          1478 123578 134568                               
426    00110101010  crystal   ⠉⠗⠽⠎⠞⠁⠇   ⣉⣗⢽⢎⠞⡁⡇   ⣉ ⣗ ⢽ ⢎        1478 123578 134568 2348 2345 17 1237             
427    00110101011  cube      ⠉⠥⠃⠑      ⣉⢥⠃⣑      ⣉ ⢥ ⠃ ⣑        1478 1368 12 1578                                
428    00110101100  culture   ⠉⠥⠇⠞⠥⠗⠑   ⣉⢥⡇⠞⢥⣗⣑   ⣉ ⢥ ⡇ ⠞        1478 1368 1237 2345 1368 123578 1578             
429    00110101101  cup       ⠉⠥⠏       ⣉⢥⣏       ⣉ ⢥ ⣏          1478 1368 123478                                 
430    00110101110  cupboard  ⠉⠥⠏⠃⠕⠁⠗⠙  ⣉⢥⣏⠃⢕⡁⣗⡙  ⣉ ⢥ ⣏ ⠃        1478 1368 123478 12 1358 17 123578 1457          
431    00110101111  curious   ⠉⠥⠗⠊⠕⠥⠎   ⣉⢥⣗⣊⢕⢥⢎   ⣉ ⢥ ⣗ ⣊        1478 1368 123578 2478 1358 1368 2348             
432    00110110000  current   ⠉⠥⠗⠗⠑⠝⠞   ⣉⢥⣗⣗⣑⠝⠞   ⣉ ⢥ ⣗ ⣗        1478 1368 123578 123578 1578 1345 2345           
433    00110110001  curtain   ⠉⠥⠗⠞⠁⠊⠝   ⣉⢥⣗⠞⡁⣊⠝   ⣉ ⢥ ⣗ ⠞        1478 1368 123578 2345 17 2478 1345               
434    00110110010  curve     ⠉⠥⠗⠧⠑     ⣉⢥⣗⣧⣑     ⣉ ⢥ ⣗ ⣧        1478 1368 123578 123678 1578                     
435    00110110011  cushion   ⠉⠥⠎⠓⠊⠕⠝   ⣉⢥⢎⢓⣊⢕⠝   ⣉ ⢥ ⢎ ⢓        1478 1368 2348 1258 2478 1358 1345               
436    00110110100  custom    ⠉⠥⠎⠞⠕⠍    ⣉⢥⢎⠞⢕⢍    ⣉ ⢥ ⢎ ⠞        1478 1368 2348 2345 1358 1348                    
437    00110110101  cute      ⠉⠥⠞⠑      ⣉⢥⠞⣑      ⣉ ⢥ ⠞ ⣑        1478 1368 2345 1578                              
438    00110110110  cycle     ⠉⠽⠉⠇⠑     ⣉⢽⣉⡇⣑     ⣉ ⢽ ⣉ ⡇        1478 134568 1478 1237 1578                       
439    00110110111  dad       ⠙⠁⠙       ⡙⡁⡙       ⡙ ⡁ ⡙          1457 17 1457                                     
440    00110111000  damage    ⠙⠁⠍⠁⠛⠑    ⡙⡁⢍⡁⠛⣑    ⡙ ⡁ ⢍ ⡁        1457 17 1348 17 1245 1578                        
441    00110111001  damp      ⠙⠁⠍⠏      ⡙⡁⢍⣏      ⡙ ⡁ ⢍ ⣏        1457 17 1348 123478                              
442    00110111010  dance     ⠙⠁⠝⠉⠑     ⡙⡁⠝⣉⣑     ⡙ ⡁ ⠝ ⣉        1457 17 1345 1478 1578                           
443    00110111011  danger    ⠙⠁⠝⠛⠑⠗    ⡙⡁⠝⠛⣑⣗    ⡙ ⡁ ⠝ ⠛        1457 17 1345 1245 1578 123578                    
444    00110111100  daring    ⠙⠁⠗⠊⠝⠛    ⡙⡁⣗⣊⠝⠛    ⡙ ⡁ ⣗ ⣊        1457 17 123578 2478 1345 1245                    
445    00110111101  dash      ⠙⠁⠎⠓      ⡙⡁⢎⢓      ⡙ ⡁ ⢎ ⢓        1457 17 2348 1258                                
446    00110111110  daughter  ⠙⠁⠥⠛⠓⠞⠑⠗  ⡙⡁⢥⠛⢓⠞⣑⣗  ⡙ ⡁ ⢥ ⠛        1457 17 1368 1245 1258 2345 1578 123578          
447    00110111111  dawn      ⠙⠁⠺⠝      ⡙⡁⣺⠝      ⡙ ⡁ ⣺ ⠝        1457 17 245678 1345                              
448    00111000000  day       ⠙⠁⠽       ⡙⡁⢽       ⡙ ⡁ ⢽          1457 17 134568                                   
449    00111000001  deal      ⠙⠑⠁⠇      ⡙⣑⡁⡇      ⡙ ⣑ ⡁ ⡇        1457 1578 17 1237                                
450    00111000010  debate    ⠙⠑⠃⠁⠞⠑    ⡙⣑⠃⡁⠞⣑    ⡙ ⣑ ⠃ ⡁        1457 1578 12 17 2345 1578                        
451    00111000011  debris    ⠙⠑⠃⠗⠊⠎    ⡙⣑⠃⣗⣊⢎    ⡙ ⣑ ⠃ ⣗        1457 1578 12 123578 2478 2348                    
452    00111000100  decade    ⠙⠑⠉⠁⠙⠑    ⡙⣑⣉⡁⡙⣑    ⡙ ⣑ ⣉ ⡁        1457 1578 1478 17 1457 1578                      
453    00111000101  december  ⠙⠑⠉⠑⠍⠃⠑⠗  ⡙⣑⣉⣑⢍⠃⣑⣗  ⡙ ⣑ ⣉ ⣑        1457 1578 1478 1578 1348 12 1578 123578          
454    00111000110  decide    ⠙⠑⠉⠊⠙⠑    ⡙⣑⣉⣊⡙⣑    ⡙ ⣑ ⣉ ⣊        1457 1578 1478 2478 1457 1578                    
455    00111000111  decline   ⠙⠑⠉⠇⠊⠝⠑   ⡙⣑⣉⡇⣊⠝⣑   ⡙ ⣑ ⣉ ⡇        1457 1578 1478 1237 2478 1345 1578               
456    00111001000  decorate  ⠙⠑⠉⠕⠗⠁⠞⠑  ⡙⣑⣉⢕⣗⡁⠞⣑  ⡙ ⣑ ⣉ ⢕        1457 1578 1478 1358 123578 17 2345 1578          
457    00111001001  decrease  ⠙⠑⠉⠗⠑⠁⠎⠑  ⡙⣑⣉⣗⣑⡁⢎⣑  ⡙ ⣑ ⣉ ⣗        1457 1578 1478 123578 1578 17 2348 1578          
458    00111001010  deer      ⠙⠑⠑⠗      ⡙⣑⣑⣗      ⡙ ⣑ ⣑ ⣗        1457 1578 1578 123578                            
459    00111001011  defense   ⠙⠑⠋⠑⠝⠎⠑   ⡙⣑⢋⣑⠝⢎⣑   ⡙ ⣑ ⢋ ⣑        1457 1578 1248 1578 1345 2348 1578               
460    00111001100  define    ⠙⠑⠋⠊⠝⠑    ⡙⣑⢋⣊⠝⣑    ⡙ ⣑ ⢋ ⣊        1457 1578 1248 2478 1345 1578                    
461    00111001101  defy      ⠙⠑⠋⠽      ⡙⣑⢋⢽      ⡙ ⣑ ⢋ ⢽        1457 1578 1248 134568                            
462    00111001110  degree    ⠙⠑⠛⠗⠑⠑    ⡙⣑⠛⣗⣑⣑    ⡙ ⣑ ⠛ ⣗        1457 1578 1245 123578 1578 1578                  
463    00111001111  delay     ⠙⠑⠇⠁⠽     ⡙⣑⡇⡁⢽     ⡙ ⣑ ⡇ ⡁        1457 1578 1237 17 134568                         
464    00111010000  deliver   ⠙⠑⠇⠊⠧⠑⠗   ⡙⣑⡇⣊⣧⣑⣗   ⡙ ⣑ ⡇ ⣊        1457 1578 1237 2478 123678 1578 123578           
465    00111010001  demand    ⠙⠑⠍⠁⠝⠙    ⡙⣑⢍⡁⠝⡙    ⡙ ⣑ ⢍ ⡁        1457 1578 1348 17 1345 1457                      
466    00111010010  demise    ⠙⠑⠍⠊⠎⠑    ⡙⣑⢍⣊⢎⣑    ⡙ ⣑ ⢍ ⣊        1457 1578 1348 2478 2348 1578                    
467    00111010011  denial    ⠙⠑⠝⠊⠁⠇    ⡙⣑⠝⣊⡁⡇    ⡙ ⣑ ⠝ ⣊        1457 1578 1345 2478 17 1237                      
468    00111010100  dentist   ⠙⠑⠝⠞⠊⠎⠞   ⡙⣑⠝⠞⣊⢎⠞   ⡙ ⣑ ⠝ ⠞        1457 1578 1345 2345 2478 2348 2345               
469    00111010101  deny      ⠙⠑⠝⠽      ⡙⣑⠝⢽      ⡙ ⣑ ⠝ ⢽        1457 1578 1345 134568                            
470    00111010110  depart    ⠙⠑⠏⠁⠗⠞    ⡙⣑⣏⡁⣗⠞    ⡙ ⣑ ⣏ ⡁        1457 1578 123478 17 123578 2345                  
471    00111010111  depend    ⠙⠑⠏⠑⠝⠙    ⡙⣑⣏⣑⠝⡙    ⡙ ⣑ ⣏ ⣑        1457 1578 123478 1578 1345 1457                  
472    00111011000  deposit   ⠙⠑⠏⠕⠎⠊⠞   ⡙⣑⣏⢕⢎⣊⠞   ⡙ ⣑ ⣏ ⢕        1457 1578 123478 1358 2348 2478 2345             
473    00111011001  depth     ⠙⠑⠏⠞⠓     ⡙⣑⣏⠞⢓     ⡙ ⣑ ⣏ ⠞        1457 1578 123478 2345 1258                       
474    00111011010  deputy    ⠙⠑⠏⠥⠞⠽    ⡙⣑⣏⢥⠞⢽    ⡙ ⣑ ⣏ ⢥        1457 1578 123478 1368 2345 134568                
475    00111011011  derive    ⠙⠑⠗⠊⠧⠑    ⡙⣑⣗⣊⣧⣑    ⡙ ⣑ ⣗ ⣊        1457 1578 123578 2478 123678 1578                
476    00111011100  describe  ⠙⠑⠎⠉⠗⠊⠃⠑  ⡙⣑⢎⣉⣗⣊⠃⣑  ⡙ ⣑ ⢎ ⣉        1457 1578 2348 1478 123578 2478 12 1578          
477    00111011101  desert    ⠙⠑⠎⠑⠗⠞    ⡙⣑⢎⣑⣗⠞    ⡙ ⣑ ⢎ ⣑        1457 1578 2348 1578 123578 2345                  
478    00111011110  design    ⠙⠑⠎⠊⠛⠝    ⡙⣑⢎⣊⠛⠝    ⡙ ⣑ ⢎ ⣊        1457 1578 2348 2478 1245 1345                    
479    00111011111  desk      ⠙⠑⠎⠅      ⡙⣑⢎⠅      ⡙ ⣑ ⢎ ⠅        1457 1578 2348 13                                
480    00111100000  despair   ⠙⠑⠎⠏⠁⠊⠗   ⡙⣑⢎⣏⡁⣊⣗   ⡙ ⣑ ⢎ ⣏        1457 1578 2348 123478 17 2478 123578             
481    00111100001  destroy   ⠙⠑⠎⠞⠗⠕⠽   ⡙⣑⢎⠞⣗⢕⢽   ⡙ ⣑ ⢎ ⠞        1457 1578 2348 2345 123578 1358 134568           
482    00111100010  detail    ⠙⠑⠞⠁⠊⠇    ⡙⣑⠞⡁⣊⡇    ⡙ ⣑ ⠞ ⡁        1457 1578 2345 17 2478 1237                      
483    00111100011  detect    ⠙⠑⠞⠑⠉⠞    ⡙⣑⠞⣑⣉⠞    ⡙ ⣑ ⠞ ⣑        1457 1578 2345 1578 1478 2345                    
484    00111100100  develop   ⠙⠑⠧⠑⠇⠕⠏   ⡙⣑⣧⣑⡇⢕⣏   ⡙ ⣑ ⣧ ⣑        1457 1578 123678 1578 1237 1358 123478           
485    00111100101  device    ⠙⠑⠧⠊⠉⠑    ⡙⣑⣧⣊⣉⣑    ⡙ ⣑ ⣧ ⣊        1457 1578 123678 2478 1478 1578                  
486    00111100110  devote    ⠙⠑⠧⠕⠞⠑    ⡙⣑⣧⢕⠞⣑    ⡙ ⣑ ⣧ ⢕        1457 1578 123678 1358 2345 1578                  
487    00111100111  diagram   ⠙⠊⠁⠛⠗⠁⠍   ⡙⣊⡁⠛⣗⡁⢍   ⡙ ⣊ ⡁ ⠛        1457 2478 17 1245 123578 17 1348                 
488    00111101000  dial      ⠙⠊⠁⠇      ⡙⣊⡁⡇      ⡙ ⣊ ⡁ ⡇        1457 2478 17 1237                                
489    00111101001  diamond   ⠙⠊⠁⠍⠕⠝⠙   ⡙⣊⡁⢍⢕⠝⡙   ⡙ ⣊ ⡁ ⢍        1457 2478 17 1348 1358 1345 1457                 
490    00111101010  diary     ⠙⠊⠁⠗⠽     ⡙⣊⡁⣗⢽     ⡙ ⣊ ⡁ ⣗        1457 2478 17 123578 134568                       
491    00111101011  dice      ⠙⠊⠉⠑      ⡙⣊⣉⣑      ⡙ ⣊ ⣉ ⣑        1457 2478 1478 1578                              
492    00111101100  diesel    ⠙⠊⠑⠎⠑⠇    ⡙⣊⣑⢎⣑⡇    ⡙ ⣊ ⣑ ⢎        1457 2478 1578 2348 1578 1237                    
493    00111101101  diet      ⠙⠊⠑⠞      ⡙⣊⣑⠞      ⡙ ⣊ ⣑ ⠞        1457 2478 1578 2345                              
494    00111101110  differ    ⠙⠊⠋⠋⠑⠗    ⡙⣊⢋⢋⣑⣗    ⡙ ⣊ ⢋ ⢋        1457 2478 1248 1248 1578 123578                  
495    00111101111  digital   ⠙⠊⠛⠊⠞⠁⠇   ⡙⣊⠛⣊⠞⡁⡇   ⡙ ⣊ ⠛ ⣊        1457 2478 1245 2478 2345 17 1237                 
496    00111110000  dignity   ⠙⠊⠛⠝⠊⠞⠽   ⡙⣊⠛⠝⣊⠞⢽   ⡙ ⣊ ⠛ ⠝        1457 2478 1245 1345 2478 2345 134568             
497    00111110001  dilemma   ⠙⠊⠇⠑⠍⠍⠁   ⡙⣊⡇⣑⢍⢍⡁   ⡙ ⣊ ⡇ ⣑        1457 2478 1237 1578 1348 1348 17                 
498    00111110010  dinner    ⠙⠊⠝⠝⠑⠗    ⡙⣊⠝⠝⣑⣗    ⡙ ⣊ ⠝ ⠝        1457 2478 1345 1345 1578 123578                  
499    00111110011  dinosaur  ⠙⠊⠝⠕⠎⠁⠥⠗  ⡙⣊⠝⢕⢎⡁⢥⣗  ⡙ ⣊ ⠝ ⢕        1457 2478 1345 1358 2348 17 1368 123578          
500    00111110100  direct    ⠙⠊⠗⠑⠉⠞    ⡙⣊⣗⣑⣉⠞    ⡙ ⣊ ⣗ ⣑        1457 2478 123578 1578 1478 2345                  
501    00111110101  dirt      ⠙⠊⠗⠞      ⡙⣊⣗⠞      ⡙ ⣊ ⣗ ⠞        1457 2478 123578 2345                            
502    00111110110  disagree  ⠙⠊⠎⠁⠛⠗⠑⠑  ⡙⣊⢎⡁⠛⣗⣑⣑  ⡙ ⣊ ⢎ ⡁        1457 2478 2348 17 1245 123578 1578 1578          
503    00111110111  discover  ⠙⠊⠎⠉⠕⠧⠑⠗  ⡙⣊⢎⣉⢕⣧⣑⣗  ⡙ ⣊ ⢎ ⣉        1457 2478 2348 1478 1358 123678 1578 123578      
504    00111111000  disease   ⠙⠊⠎⠑⠁⠎⠑   ⡙⣊⢎⣑⡁⢎⣑   ⡙ ⣊ ⢎ ⣑        1457 2478 2348 1578 17 2348 1578                 
505    00111111001  dish      ⠙⠊⠎⠓      ⡙⣊⢎⢓      ⡙ ⣊ ⢎ ⢓        1457 2478 2348 1258                              
506    00111111010  dismiss   ⠙⠊⠎⠍⠊⠎⠎   ⡙⣊⢎⢍⣊⢎⢎   ⡙ ⣊ ⢎ ⢍        1457 2478 2348 1348 2478 2348 2348               
507    00111111011  disorder  ⠙⠊⠎⠕⠗⠙⠑⠗  ⡙⣊⢎⢕⣗⡙⣑⣗  ⡙ ⣊ ⢎ ⢕        1457 2478 2348 1358 123578 1457 1578 123578      
508    00111111100  display   ⠙⠊⠎⠏⠇⠁⠽   ⡙⣊⢎⣏⡇⡁⢽   ⡙ ⣊ ⢎ ⣏        1457 2478 2348 123478 1237 17 134568             
509    00111111101  distance  ⠙⠊⠎⠞⠁⠝⠉⠑  ⡙⣊⢎⠞⡁⠝⣉⣑  ⡙ ⣊ ⢎ ⠞        1457 2478 2348 2345 17 1345 1478 1578            
510    00111111110  divert    ⠙⠊⠧⠑⠗⠞    ⡙⣊⣧⣑⣗⠞    ⡙ ⣊ ⣧ ⣑        1457 2478 123678 1578 123578 2345                
511    00111111111  divide    ⠙⠊⠧⠊⠙⠑    ⡙⣊⣧⣊⡙⣑    ⡙ ⣊ ⣧ ⣊        1457 2478 123678 2478 1457 1578                  
512    01000000000  divorce   ⠙⠊⠧⠕⠗⠉⠑   ⡙⣊⣧⢕⣗⣉⣑   ⡙ ⣊ ⣧ ⢕        1457 2478 123678 1358 123578 1478 1578           
513    01000000001  dizzy     ⠙⠊⠵⠵⠽     ⡙⣊⠵⠵⢽     ⡙ ⣊ ⠵ ⠵        1457 2478 1356 1356 134568                       
514    01000000010  doctor    ⠙⠕⠉⠞⠕⠗    ⡙⢕⣉⠞⢕⣗    ⡙ ⢕ ⣉ ⠞        1457 1358 1478 2345 1358 123578                  
515    01000000011  document  ⠙⠕⠉⠥⠍⠑⠝⠞  ⡙⢕⣉⢥⢍⣑⠝⠞  ⡙ ⢕ ⣉ ⢥        1457 1358 1478 1368 1348 1578 1345 2345          
516    01000000100  dog       ⠙⠕⠛       ⡙⢕⠛       ⡙ ⢕ ⠛          1457 1358 1245                                   
517    01000000101  doll      ⠙⠕⠇⠇      ⡙⢕⡇⡇      ⡙ ⢕ ⡇ ⡇        1457 1358 1237 1237                              
518    01000000110  dolphin   ⠙⠕⠇⠏⠓⠊⠝   ⡙⢕⡇⣏⢓⣊⠝   ⡙ ⢕ ⡇ ⣏        1457 1358 1237 123478 1258 2478 1345             
519    01000000111  domain    ⠙⠕⠍⠁⠊⠝    ⡙⢕⢍⡁⣊⠝    ⡙ ⢕ ⢍ ⡁        1457 1358 1348 17 2478 1345                      
520    01000001000  donate    ⠙⠕⠝⠁⠞⠑    ⡙⢕⠝⡁⠞⣑    ⡙ ⢕ ⠝ ⡁        1457 1358 1345 17 2345 1578                      
521    01000001001  donkey    ⠙⠕⠝⠅⠑⠽    ⡙⢕⠝⠅⣑⢽    ⡙ ⢕ ⠝ ⠅        1457 1358 1345 13 1578 134568                    
522    01000001010  donor     ⠙⠕⠝⠕⠗     ⡙⢕⠝⢕⣗     ⡙ ⢕ ⠝ ⢕        1457 1358 1345 1358 123578                       
523    01000001011  door      ⠙⠕⠕⠗      ⡙⢕⢕⣗      ⡙ ⢕ ⢕ ⣗        1457 1358 1358 123578                            
524    01000001100  dose      ⠙⠕⠎⠑      ⡙⢕⢎⣑      ⡙ ⢕ ⢎ ⣑        1457 1358 2348 1578                              
525    01000001101  double    ⠙⠕⠥⠃⠇⠑    ⡙⢕⢥⠃⡇⣑    ⡙ ⢕ ⢥ ⠃        1457 1358 1368 12 1237 1578                      
526    01000001110  dove      ⠙⠕⠧⠑      ⡙⢕⣧⣑      ⡙ ⢕ ⣧ ⣑        1457 1358 123678 1578                            
527    01000001111  draft     ⠙⠗⠁⠋⠞     ⡙⣗⡁⢋⠞     ⡙ ⣗ ⡁ ⢋        1457 123578 17 1248 2345                         
528    01000010000  dragon    ⠙⠗⠁⠛⠕⠝    ⡙⣗⡁⠛⢕⠝    ⡙ ⣗ ⡁ ⠛        1457 123578 17 1245 1358 1345                    
529    01000010001  drama     ⠙⠗⠁⠍⠁     ⡙⣗⡁⢍⡁     ⡙ ⣗ ⡁ ⢍        1457 123578 17 1348 17                           
530    01000010010  drastic   ⠙⠗⠁⠎⠞⠊⠉   ⡙⣗⡁⢎⠞⣊⣉   ⡙ ⣗ ⡁ ⢎        1457 123578 17 2348 2345 2478 1478               
531    01000010011  draw      ⠙⠗⠁⠺      ⡙⣗⡁⣺      ⡙ ⣗ ⡁ ⣺        1457 123578 17 245678                            
532    01000010100  dream     ⠙⠗⠑⠁⠍     ⡙⣗⣑⡁⢍     ⡙ ⣗ ⣑ ⡁        1457 123578 1578 17 1348                         
533    01000010101  dress     ⠙⠗⠑⠎⠎     ⡙⣗⣑⢎⢎     ⡙ ⣗ ⣑ ⢎        1457 123578 1578 2348 2348                       
534    01000010110  drift     ⠙⠗⠊⠋⠞     ⡙⣗⣊⢋⠞     ⡙ ⣗ ⣊ ⢋        1457 123578 2478 1248 2345                       
535    01000010111  drill     ⠙⠗⠊⠇⠇     ⡙⣗⣊⡇⡇     ⡙ ⣗ ⣊ ⡇        1457 123578 2478 1237 1237                       
536    01000011000  drink     ⠙⠗⠊⠝⠅     ⡙⣗⣊⠝⠅     ⡙ ⣗ ⣊ ⠝        1457 123578 2478 1345 13                         
537    01000011001  drip      ⠙⠗⠊⠏      ⡙⣗⣊⣏      ⡙ ⣗ ⣊ ⣏        1457 123578 2478 123478                          
538    01000011010  drive     ⠙⠗⠊⠧⠑     ⡙⣗⣊⣧⣑     ⡙ ⣗ ⣊ ⣧        1457 123578 2478 123678 1578                     
539    01000011011  drop      ⠙⠗⠕⠏      ⡙⣗⢕⣏      ⡙ ⣗ ⢕ ⣏        1457 123578 1358 123478                          
540    01000011100  drum      ⠙⠗⠥⠍      ⡙⣗⢥⢍      ⡙ ⣗ ⢥ ⢍        1457 123578 1368 1348                            
541    01000011101  dry       ⠙⠗⠽       ⡙⣗⢽       ⡙ ⣗ ⢽          1457 123578 134568                               
542    01000011110  duck      ⠙⠥⠉⠅      ⡙⢥⣉⠅      ⡙ ⢥ ⣉ ⠅        1457 1368 1478 13                                
543    01000011111  dumb      ⠙⠥⠍⠃      ⡙⢥⢍⠃      ⡙ ⢥ ⢍ ⠃        1457 1368 1348 12                                
544    01000100000  dune      ⠙⠥⠝⠑      ⡙⢥⠝⣑      ⡙ ⢥ ⠝ ⣑        1457 1368 1345 1578                              
545    01000100001  during    ⠙⠥⠗⠊⠝⠛    ⡙⢥⣗⣊⠝⠛    ⡙ ⢥ ⣗ ⣊        1457 1368 123578 2478 1345 1245                  
546    01000100010  dust      ⠙⠥⠎⠞      ⡙⢥⢎⠞      ⡙ ⢥ ⢎ ⠞        1457 1368 2348 2345                              
547    01000100011  dutch     ⠙⠥⠞⠉⠓     ⡙⢥⠞⣉⢓     ⡙ ⢥ ⠞ ⣉        1457 1368 2345 1478 1258                         
